director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted,all_keywords
Olatunde Osunsanmi,10000000.0,"['Mystery', 'Sci-Fi', 'Thriller']",Milla Jovovich,The Fourth Kind ,"['Olatunde Osunsanmi', 'Milla Jovovich', 'abduction', 'alaska', 'alien', 'owl', 'patient']",PG-13,Sci-Fi,"['Olatunde Osunsanmi', 'Milla Jovovich', 'abduction', 'alaska', 'alien', 'owl', 'patient']"
Robert Altman,10000000.0,"['Comedy', 'Drama', 'Music']",Meryl Streep,A Prairie Home Companion ,"['Robert Altman', 'Meryl Streep', 'backstage', 'country music', 'cowboy', 'radio', 'singing']",PG-13,Musical,"['Robert Altman', 'Meryl Streep', 'backstage', 'country music', 'cowboy', 'radio', 'singing']"
Leon Ichaso,10000000.0,"['Drama', 'Thriller']",Khandi Alexander,Sugar Hill ,"['Leon Ichaso', 'Khandi Alexander', 'african american', 'harlem manhattan new york city', 'manhattan new york city', 'new york city', 'urination']",R,Drama,"['Leon Ichaso', 'Khandi Alexander', 'african american', 'harlem manhattan new york city', 'manhattan new york city', 'new york city', 'urination']"
Joseph Zito,10000000.0,"['Action', 'Thriller']",Billy Drago,Invasion U.S.A. ,"['Joseph Zito', 'Billy Drago', 'army', 'nightmare', 'one man army', 'rescue', 'spy']",R,Action-Comedy,"['Joseph Zito', 'Billy Drago', 'army', 'nightmare', 'one man army', 'rescue', 'spy']"
Malcolm D. Lee,,"['Comedy', 'Drama', 'Music', 'Romance']",Jurnee Smollett-Bell,Roll Bounce ,"['Malcolm D. Lee', 'Jurnee Smollett-Bell', '1970s', 'boy', 'competition', 'roller skates', 'tubesocks']",PG-13,Musical,"['Malcolm D. Lee', 'Jurnee Smollett-Bell', '1970s', 'boy', 'competition', 'roller skates', 'tubesocks']"
Wes Anderson,9000000.0,"['Comedy', 'Drama']",Bill Murray,Rushmore ,"['Wes Anderson', 'Bill Murray', 'coming of age', 'friendship', 'private school', 'student', 'teacher']",R,Rom-Com,"['Wes Anderson', 'Bill Murray', 'coming of age', 'friendship', 'private school', 'student', 'teacher']"
Colin Strause,10000000.0,"['Action', 'Sci-Fi', 'Thriller']",David Zayas,Skyline ,"['Colin Strause', 'David Zayas', 'apartment', 'blue light', 'drawing', 'group of friends', 'light']",PG-13,Sci-Fi,"['Colin Strause', 'David Zayas', 'apartment', 'blue light', 'drawing', 'group of friends', 'light']"
John Madden,10000000.0,"['Comedy', 'Drama']",Tina Desai,The Second Best Exotic Marigold Hotel ,"['John Madden', 'Tina Desai', 'sequel']",PG,Rom-Com,"['John Madden', 'Tina Desai', 'sequel']"
Patricia Rozema,10000000.0,"['Drama', 'Family']",Julia Ormond,Kit Kittredge: An American Girl ,"['Patricia Rozema', 'Julia Ormond', 'boarding house', 'girl', 'great depression', 'house', 'ohio']",G,Family,"['Patricia Rozema', 'Julia Ormond', 'boarding house', 'girl', 'great depression', 'house', 'ohio']"
Mark Rosman,25000000.0,"['Comedy', 'Family', 'Romance']",Ben Feldman,The Perfect Man ,"['Mark Rosman', 'Ben Feldman', 'e mail', 'moving', 'perfect man', 'secret admirer', 'suitor']",PG,Family,"['Mark Rosman', 'Ben Feldman', 'e mail', 'moving', 'perfect man', 'secret admirer', 'suitor']"
Spike Lee,10000000.0,"['Drama', 'Music', 'Romance']",Denzel Washington,Mo' Better Blues ,"['Spike Lee', 'Denzel Washington', 'comeback', 'friend', 'jazz', 'stage', 'trumpet']",R,Musical,"['Spike Lee', 'Denzel Washington', 'comeback', 'friend', 'jazz', 'stage', 'trumpet']"
Steve Oedekerk,10000000.0,"['Action', 'Comedy']",Steve Oedekerk,Kung Pow: Enter the Fist ,"['Steve Oedekerk', 'Steve Oedekerk', 'chosen one', 'comic violence', 'intentionally bad', 'kung fu', 'stylized violence']",PG-13,Rom-Com,"['Steve Oedekerk', 'Steve Oedekerk', 'chosen one', 'comic violence', 'intentionally bad', 'kung fu', 'stylized violence']"
Ron Underwood,11000000.0,"['Comedy', 'Horror', 'Sci-Fi']",Reba McEntire,Tremors ,"['Ron Underwood', 'Reba McEntire', 'desert', 'giant worm', 'monster', 'pipe bomb', 'small town']",PG-13,Horror,"['Ron Underwood', 'Reba McEntire', 'desert', 'giant worm', 'monster', 'pipe bomb', 'small town']"
Rob Schmidt,12600000.0,"['Horror', 'Thriller']",Kevin Zegers,Wrong Turn ,"['Rob Schmidt', 'Kevin Zegers', 'forest', 'mountain', 'road', 'stupid victim', 'west virginia']",R,Horror,"['Rob Schmidt', 'Kevin Zegers', 'forest', 'mountain', 'road', 'stupid victim', 'west virginia']"
Walter Hill,10000000.0,['Western'],Dennis Quaid,The Long Riders ,"['Walter Hill', 'Dennis Quaid', 'bank', 'breasts', 'famous score', 'last man standing', 'revenge']",R,Western,"['Walter Hill', 'Dennis Quaid', 'bank', 'breasts', 'famous score', 'last man standing', 'revenge']"
James Foley,30000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Byron Mann,The Corruptor ,"['James Foley', 'Byron Mann', 'chinatown', 'illegal immigrant', 'new york', 'police', 'triad']",R,Mystery,"['James Foley', 'Byron Mann', 'chinatown', 'illegal immigrant', 'new york', 'police', 'triad']"
Jeff Nichols,10000000.0,['Drama'],Matthew McConaughey,Mud ,"['Jeff Nichols', 'Matthew McConaughey', '14 year old', 'boat', 'bounty hunter', 'boy', 'river']",PG-13,Drama,"['Jeff Nichols', 'Matthew McConaughey', '14 year old', 'boat', 'bounty hunter', 'boy', 'river']"
Robert Ben Garant,10000000.0,"['Comedy', 'Crime']",Wendi McLendon-Covey,Reno 911!: Miami ,"['Robert Ben Garant', 'Wendi McLendon-Covey', 'beach', 'police', 'sex scene', 'spring break', 'vomiting']",R,Rom-Com,"['Robert Ben Garant', 'Wendi McLendon-Covey', 'beach', 'police', 'sex scene', 'spring break', 'vomiting']"
Morgan Spurlock,10000000.0,"['Documentary', 'Music']",Harry Styles,One Direction: This Is Us ,"['Morgan Spurlock', 'Harry Styles', '3 dimensional', 'concert footage', 'englishman abroad', 'reference to keith richards', 'reference to the doors']",PG,History,"['Morgan Spurlock', 'Harry Styles', '3 dimensional', 'concert footage', 'englishman abroad', 'reference to keith richards', 'reference to the doors']"
Neal Brennan,,['Comedy'],Rob Riggle,"The Goods: Live Hard, Sell Hard ","['Neal Brennan', 'Rob Riggle', 'fourth of july', ""looking at one's self in a mirror"", 'mirror', 'sex toy', 'young version of character']",R,Comedy,"['Neal Brennan', 'Rob Riggle', 'fourth of july', ""looking at one's self in a mirror"", 'mirror', 'sex toy', 'young version of character']"
Tuck Tucker,3000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Jennifer Jason Leigh,Hey Arnold! The Movie ,"['Tuck Tucker', 'Jennifer Jason Leigh', 'castle thunder', 'document', 'neighborhood', 'punctuation in title', 'villain arrested']",PG,Animation,"['Tuck Tucker', 'Jennifer Jason Leigh', 'castle thunder', 'document', 'neighborhood', 'punctuation in title', 'villain arrested']"
Simon Curtis,6400000.0,"['Biography', 'Drama']",Eddie Redmayne,My Week with Marilyn ,"['Simon Curtis', 'Eddie Redmayne', 'actress', 'assistant director', 'blonde bombshell', 'movie star', 'wardrobe']",R,Biography,"['Simon Curtis', 'Eddie Redmayne', 'actress', 'assistant director', 'blonde bombshell', 'movie star', 'wardrobe']"
Richard Shepard,10000000.0,"['Comedy', 'Crime', 'Drama', 'Thriller']",Adam Scott,The Matador ,"['Richard Shepard', 'Adam Scott', 'bar', 'hitman', 'luck', 'mexico', 'mexico city']",R,Rom-Com,"['Richard Shepard', 'Adam Scott', 'bar', 'hitman', 'luck', 'mexico', 'mexico city']"
Theodore Witcher,10000000.0,"['Drama', 'Romance']",Leonard Roberts,Love Jones ,"['Theodore Witcher', 'Leonard Roberts', 'african american', 'cult film', 'ex boyfriend', 'middle class', 'sex']",R,Drama,"['Theodore Witcher', 'Leonard Roberts', 'african american', 'cult film', 'ex boyfriend', 'middle class', 'sex']"
Joel Edgerton,5000000.0,"['Mystery', 'Thriller']",Busy Philipps,The Gift ,"['Joel Edgerton', 'Busy Philipps', 'compulsive liar', 'fired from a job', 'gift', 'rape', 'substance abuse']",R,Mystery,"['Joel Edgerton', 'Busy Philipps', 'compulsive liar', 'fired from a job', 'gift', 'rape', 'substance abuse']"
Jim Hanon,10000000.0,"['Adventure', 'Drama']",Chase Ellison,End of the Spear ,"['Jim Hanon', 'Chase Ellison', 'death', 'missionary', 'spear', 'speared to death', 'tribe']",PG-13,Adventure,"['Jim Hanon', 'Chase Ellison', 'death', 'missionary', 'spear', 'speared to death', 'tribe']"
Tommy O'Haver,22000000.0,"['Comedy', 'Romance']",Mila Kunis,Get Over It ,"[""Tommy O'Haver"", 'Mila Kunis', 'basketball', 'dancer', 'high school', 'love triangle', ""shakespeare's a midsummer night's dream""]",PG-13,Rom-Com,"[""Tommy O'Haver"", 'Mila Kunis', 'basketball', 'dancer', 'high school', 'love triangle', ""shakespeare's a midsummer night's dream""]"
Mike Judge,10000000.0,['Comedy'],Gary Cole,Office Space ,"['Mike Judge', 'Gary Cole', 'boss', 'computer', 'downsizing', 'neighbor', 'office']",R,Comedy,"['Mike Judge', 'Gary Cole', 'boss', 'computer', 'downsizing', 'neighbor', 'office']"
Michael Patrick Jann,10000000.0,"['Comedy', 'Romance', 'Thriller']",Kirsten Dunst,Drop Dead Gorgeous ,"['Michael Patrick Jann', 'Kirsten Dunst', 'beauty pageant', 'blonde', 'cheerleader uniform', 'small town', 'upskirt']",PG-13,Rom-Com,"['Michael Patrick Jann', 'Kirsten Dunst', 'beauty pageant', 'blonde', 'cheerleader uniform', 'small town', 'upskirt']"
Tim Burton,10000000.0,"['Biography', 'Crime', 'Drama', 'Romance']",Christoph Waltz,Big Eyes ,"['Tim Burton', 'Christoph Waltz', '1950s', 'abusive husband', 'artist', 'painting', 'secret']",PG-13,Biography,"['Tim Burton', 'Christoph Waltz', '1950s', 'abusive husband', 'artist', 'painting', 'secret']"
Peter Berg,10000000.0,"['Comedy', 'Crime', 'Thriller']",Jon Favreau,Very Bad Things ,"['Peter Berg', 'Jon Favreau', 'bachelor party', 'breasts', 'friend', 'prostitute', 'wedding']",R,Rom-Com,"['Peter Berg', 'Jon Favreau', 'bachelor party', 'breasts', 'friend', 'prostitute', 'wedding']"
Joe Nussbaum,10000000.0,"['Comedy', 'Romance']",Steve Carell,Sleepover ,"['Joe Nussbaum', 'Steve Carell', 'best friend', 'party', 'rival', 'scavenger hunt', 'sleepover']",PG,Rom-Com,"['Joe Nussbaum', 'Steve Carell', 'best friend', 'party', 'rival', 'scavenger hunt', 'sleepover']"
Brian De Palma,10000000.0,"['Mystery', 'Thriller']",Melanie Griffith,Body Double ,"['Brian De Palma', 'Melanie Griffith', 'actor', 'neighbor', 'police', 'thief', 'tunnel']",R,Mystery,"['Brian De Palma', 'Melanie Griffith', 'actor', 'neighbor', 'police', 'thief', 'tunnel']"
Jorma Taccone,10000000.0,"['Action', 'Comedy', 'Romance']",Jasper Cole,MacGruber ,"['Jorma Taccone', 'Jasper Cole', 'colonel', 'lieutenant', 'nuclear warhead', 'team', 'washington d.c.']",R,Rom-Com,"['Jorma Taccone', 'Jasper Cole', 'colonel', 'lieutenant', 'nuclear warhead', 'team', 'washington d.c.']"
Stephen Frears,10000000.0,"['Crime', 'Drama', 'Thriller']",Sophie Okonedo,Dirty Pretty Things ,"['Stephen Frears', 'Sophie Okonedo', 'hotel', 'immigrant', 'nigerian', 'surgery', 'underwear']",R,Crime,"['Stephen Frears', 'Sophie Okonedo', 'hotel', 'immigrant', 'nigerian', 'surgery', 'underwear']"
Elizabeth Banks,6000000.0,['Comedy'],Hugh Jackman,Movie 43 ,"['Elizabeth Banks', 'Hugh Jackman', 'awkwardness', 'embarrassment', 'gross out', 'irreverence', 'shame']",R,Comedy,"['Elizabeth Banks', 'Hugh Jackman', 'awkwardness', 'embarrassment', 'gross out', 'irreverence', 'shame']"
Florian Henckel von Donnersmarck,100000000.0,"['Action', 'Romance', 'Thriller']",Johnny Depp,The Tourist ,"['Florian Henckel von Donnersmarck', 'Johnny Depp', 'police surveillance', 'surveillance van', 'tailing a suspect', 'tourist', 'venice italy']",PG-13,Action-Comedy,"['Florian Henckel von Donnersmarck', 'Johnny Depp', 'police surveillance', 'surveillance van', 'tailing a suspect', 'tourist', 'venice italy']"
Jeff Lowell,10000000.0,"['Comedy', 'Fantasy', 'Romance']",Stephen Root,Over Her Dead Body ,"['Jeff Lowell', 'Stephen Root', 'accident', 'diary', 'ghost', 'psychic', 'veterinarian']",PG-13,Rom-Com,"['Jeff Lowell', 'Stephen Root', 'accident', 'diary', 'ghost', 'psychic', 'veterinarian']"
Lorene Scafaria,10000000.0,"['Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']",Steve Carell,Seeking a Friend for the End of the World ,"['Lorene Scafaria', 'Steve Carell', 'candle', 'end of the world', 'letter', 'record', 'road trip']",R,Sci-Fi,"['Lorene Scafaria', 'Steve Carell', 'candle', 'end of the world', 'letter', 'record', 'road trip']"
Miguel Arteta,,['Comedy'],Kurtwood Smith,Cedar Rapids ,"['Miguel Arteta', 'Kurtwood Smith', 'award', 'cedar rapids iowa', 'convention', 'hotel', 'insurance']",R,Comedy,"['Miguel Arteta', 'Kurtwood Smith', 'award', 'cedar rapids iowa', 'convention', 'hotel', 'insurance']"
,,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance']",Michaela Conlin,Bones             ,"[nan, 'Michaela Conlin', 'anthropologist', 'fbi', 'fbi agent', 'forensics', 'investigation']",TV-14,Mystery,"[nan, 'Michaela Conlin', 'anthropologist', 'fbi', 'fbi agent', 'forensics', 'investigation']"
Tony Kaye,7500000.0,"['Crime', 'Drama']",Ethan Suplee,American History X ,"['Tony Kaye', 'Ethan Suplee', 'curb stomping', 'neo nazi', 'prison', ""son dislikes mother's boyfriend"", 'white supremacist']",R,Crime,"['Tony Kaye', 'Ethan Suplee', 'curb stomping', 'neo nazi', 'prison', ""son dislikes mother's boyfriend"", 'white supremacist']"
Marcus Dunstan,10000000.0,"['Action', 'Horror', 'Thriller']",Daniel Sharman,The Collection ,"['Marcus Dunstan', 'Daniel Sharman', 'booby trap', 'brainwashing', 'mercenary', 'serial killer', 'trap']",R,Horror,"['Marcus Dunstan', 'Daniel Sharman', 'booby trap', 'brainwashing', 'mercenary', 'serial killer', 'trap']"
Timothy Björklund,10000000.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Nathan Lane,Teacher's Pet ,"['Timothy Bj\xc3\xb6rklund', 'Nathan Lane', 'dog', 'florida', 'mad scientist', 'school', 'teacher']",PG,Animation,"['Timothy Bj\xc3\xb6rklund', 'Nathan Lane', 'dog', 'florida', 'mad scientist', 'school', 'teacher']"
François Girard,10000000.0,"['Drama', 'Music', 'Mystery', 'Romance']",Johannes Silberschneider,The Red Violin ,"['Fran\xc3\xa7ois Girard', 'Johannes Silberschneider', 'auction', 'montreal', 'secret', 'violin', 'violinist']",R,Musical,"['Fran\xc3\xa7ois Girard', 'Johannes Silberschneider', 'auction', 'montreal', 'secret', 'violin', 'violinist']"
David Lynch,10000000.0,"['Biography', 'Drama']",Sissy Spacek,The Straight Story ,"['David Lynch', 'Sissy Spacek', 'cane', 'iowa', 'lawn mower', 'tractor', 'wisconsin']",G,Biography,"['David Lynch', 'Sissy Spacek', 'cane', 'iowa', 'lawn mower', 'tractor', 'wisconsin']"
Scott Kalvert,10000000.0,"['Action', 'Crime', 'Drama']",Norman Reedus,Deuces Wild ,"['Scott Kalvert', 'Norman Reedus', '1950s', 'drug overdose', 'gang', 'gang war', 'new york city']",R,Action-Comedy,"['Scott Kalvert', 'Norman Reedus', '1950s', 'drug overdose', 'gang', 'gang war', 'new york city']"
Jason Bateman,10000000.0,"['Comedy', 'Drama']",Beth Grant,Bad Words ,"['Jason Bateman', 'Beth Grant', 'directed by star', 'indian american', 'spelling', 'spelling bee', 'two word title']",R,Rom-Com,"['Jason Bateman', 'Beth Grant', 'directed by star', 'indian american', 'spelling', 'spelling bee', 'two word title']"
David Schwimmer,,"['Comedy', 'Romance', 'Sport']",Dylan Moran,"Run, Fatboy, Run ","['David Schwimmer', 'Dylan Moran', 'blister', 'gym', 'marathon', 'training', 'wedding']",PG-13,Sport,"['David Schwimmer', 'Dylan Moran', 'blister', 'gym', 'marathon', 'training', 'wedding']"
Allan Arkush,10000000.0,"['Comedy', 'Sci-Fi']",Bernadette Peters,Heartbeeps ,"['Allan Arkush', 'Bernadette Peters', 'escape', 'fish out of water', 'love', 'robot', 'servant']",PG,Sci-Fi,"['Allan Arkush', 'Bernadette Peters', 'escape', 'fish out of water', 'love', 'robot', 'servant']"
Mike Binder,9000000.0,['Drama'],Jennifer Ehle,Black or White ,"['Mike Binder', 'Jennifer Ehle', 'color in title']",PG-13,Drama,"['Mike Binder', 'Jennifer Ehle', 'color in title']"
Eric Bross,16000000.0,"['Comedy', 'Family', 'Romance']",Jerry Stiller,On the Line ,"['Eric Bross', 'Jerry Stiller', 'based on short film', 'chicago illinois', 'el train', 'love', 'train']",PG,Family,"['Eric Bross', 'Jerry Stiller', 'based on short film', 'chicago illinois', 'el train', 'love', 'train']"
Werner Herzog,10000000.0,"['Adventure', 'Biography', 'Drama', 'War']",Christian Bale,Rescue Dawn ,"['Werner Herzog', 'Christian Bale', 'bombing', 'guard', 'jungle', 'laos', 'prisoner']",PG-13,War,"['Werner Herzog', 'Christian Bale', 'bombing', 'guard', 'jungle', 'laos', 'prisoner']"
Dan Fogelman,10000000.0,"['Comedy', 'Drama', 'Music']",Al Pacino,Danny Collins ,"['Dan Fogelman', 'Al Pacino', 'entertainer', 'inspiration', 'lost opportunity', 'pregnant mother', 'rock star']",R,Musical,"['Dan Fogelman', 'Al Pacino', 'entertainer', 'inspiration', 'lost opportunity', 'pregnant mother', 'rock star']"
Jay Duplass,10000000.0,"['Comedy', 'Drama']",Judy Greer,"Jeff, Who Lives at Home ","['Jay Duplass', 'Judy Greer', 'basement', 'errand', 'secret admirer', 'slacker', 'wrong number']",R,Rom-Com,"['Jay Duplass', 'Judy Greer', 'basement', 'errand', 'secret admirer', 'slacker', 'wrong number']"
Luca Guadagnino,10000000.0,"['Drama', 'Romance']",Flavio Parenti,I Am Love ,"['Luca Guadagnino', 'Flavio Parenti', 'chef', 'friend', 'italy', 'restaurant', 'russian']",R,Drama,"['Luca Guadagnino', 'Flavio Parenti', 'chef', 'friend', 'italy', 'restaurant', 'russian']"
John Putch,10000000.0,"['Drama', 'Mystery', 'Sci-Fi']",Robert Picardo,Atlas Shrugged II: The Strike ,"['John Putch', 'Robert Picardo', 'box office flop', 'critically bashed', 'government', 'industrialist', 'railroad']",PG-13,Sci-Fi,"['John Putch', 'Robert Picardo', 'box office flop', 'critically bashed', 'government', 'industrialist', 'railroad']"
Peter Medak,11500000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Gary Oldman,Romeo Is Bleeding ,"['Peter Medak', 'Gary Oldman', 'detective', 'police', 'protection', 'russian', 'sergeant']",R,Action-Comedy,"['Peter Medak', 'Gary Oldman', 'detective', 'police', 'protection', 'russian', 'sergeant']"
Steven Soderbergh,9000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Peter Fonda,The Limey ,"['Steven Soderbergh', 'Peter Fonda', 'daughter', 'englishman', 'ex con', 'revenge', 'young woman']",R,Mystery,"['Steven Soderbergh', 'Peter Fonda', 'daughter', 'englishman', 'ex con', 'revenge', 'young woman']"
Paul Haggis,6500000.0,"['Crime', 'Drama', 'Thriller']",Don Cheadle,Crash ,"['Paul Haggis', 'Don Cheadle', 'race relations', 'racism', 'racist', 'social problem', 'stereotype']",R,Crime,"['Paul Haggis', 'Don Cheadle', 'race relations', 'racism', 'racist', 'social problem', 'stereotype']"
Terence Davies,10000000.0,"['Drama', 'Romance']",Eric Stoltz,The House of Mirth ,"['Terence Davies', 'Eric Stoltz', 'high society', 'love', 'money', 'reputation', 'wealth']",PG,Drama,"['Terence Davies', 'Eric Stoltz', 'high society', 'love', 'money', 'reputation', 'wealth']"
Harley Cokeliss,10000000.0,"['Action', 'Drama', 'Thriller']",Cliff Robertson,Malone ,"['Harley Cokeliss', 'Cliff Robertson', 'assassin', 'box office flop', 'cia', 'farmer', 'power']",R,Action-Comedy,"['Harley Cokeliss', 'Cliff Robertson', 'assassin', 'box office flop', 'cia', 'farmer', 'power']"
Victor Salva,10000000.0,"['Drama', 'Romance', 'Sport']",Scott Mechlowicz,Peaceful Warrior ,"['Victor Salva', 'Scott Mechlowicz', 'college', 'college athlete', 'comeback', 'gymnast', 'olympics']",PG-13,Sport,"['Victor Salva', 'Scott Mechlowicz', 'college', 'college athlete', 'comeback', 'gymnast', 'olympics']"
Tom Brady,10000000.0,['Comedy'],Don Johnson,Bucky Larson: Born to Be a Star ,"['Tom Brady', 'Don Johnson', 'diner', 'eating a banana', 'masturbation', 'porn star', 'shooting a pornographic movie']",R,Comedy,"['Tom Brady', 'Don Johnson', 'diner', 'eating a banana', 'masturbation', 'porn star', 'shooting a pornographic movie']"
Spike Lee,10000000.0,"['Comedy', 'Drama', 'Music']",Gillian White,Bamboozled ,"['Spike Lee', 'Gillian White', 'actor', 'minstrel show', 'protest', 'success', 'writer']",R,Musical,"['Spike Lee', 'Gillian White', 'actor', 'minstrel show', 'protest', 'success', 'writer']"
Jason Zada,10000000.0,"['Horror', 'Mystery', 'Thriller']",Eoin Macken,The Forest ,"['Jason Zada', 'Eoin Macken', 'forest', 'japan', 'suicide', 'suicide forest', 'supernatural']",PG-13,Horror,"['Jason Zada', 'Eoin Macken', 'forest', 'japan', 'suicide', 'suicide forest', 'supernatural']"
Franklin J. Schaffner,14000000.0,"['Adventure', 'Mystery', 'Thriller']",Frank Langella,Sphinx ,"['Franklin J. Schaffner', 'Frank Langella', 'bat', 'curse', 'egyptologist', 'mummy', 'murder']",PG,Mystery,"['Franklin J. Schaffner', 'Frank Langella', 'bat', 'curse', 'egyptologist', 'mummy', 'murder']"
Noah Baumbach,10000000.0,"['Comedy', 'Drama']",Naomi Watts,While We're Young ,"['Noah Baumbach', 'Naomi Watts', 'documentary filmmaker', 'documentary filmmaking', 'father in law', 'generation z', 'hipster']",R,Rom-Com,"['Noah Baumbach', 'Naomi Watts', 'documentary filmmaker', 'documentary filmmaking', 'father in law', 'generation z', 'hipster']"
Chris Weitz,10000000.0,"['Drama', 'Romance']",Demián Bichir,A Better Life ,"['Chris Weitz', 'Demi\xc3\xa1n Bichir', 'gang', 'gardener', 'money', 'police', 'truck']",PG-13,Drama,"['Chris Weitz', 'Demi\xc3\xa1n Bichir', 'gang', 'gardener', 'money', 'police', 'truck']"
David Cronenberg,8000000.0,"['Drama', 'Mystery', 'Thriller']",Miranda Richardson,Spider ,"['David Cronenberg', 'Miranda Richardson', 'halfway house', 'key', 'reality', 'schizophrenia', 'spider']",R,Mystery,"['David Cronenberg', 'Miranda Richardson', 'halfway house', 'key', 'reality', 'schizophrenia', 'spider']"
Eric Blakeney,10000000.0,"['Comedy', 'Crime', 'Romance']",Liam Neeson,Gun Shy ,"['Eric Blakeney', 'Liam Neeson', 'colombian', 'enema', 'group therapy', 'murder', 'nurse']",R,Rom-Com,"['Eric Blakeney', 'Liam Neeson', 'colombian', 'enema', 'group therapy', 'murder', 'nurse']"
Douglas McGrath,10000000.0,"['Drama', 'Romance']",Charlie Hunnam,Nicholas Nickleby ,"['Douglas McGrath', 'Charlie Hunnam', 'boy', ""boys' school"", 'death', 'friend', 'orphan']",PG,Drama,"['Douglas McGrath', 'Charlie Hunnam', 'boy', ""boys' school"", 'death', 'friend', 'orphan']"
Ariel Vromen,10000000.0,"['Biography', 'Crime', 'Drama']",Chris Evans,The Iceman ,"['Ariel Vromen', 'Chris Evans', 'based on true story', 'contract killer', 'crime family', 'murder of a girl', 'serial murderer']",R,Biography,"['Ariel Vromen', 'Chris Evans', 'based on true story', 'contract killer', 'crime family', 'murder of a girl', 'serial murderer']"
,,['Drama'],Krystyna Janda,Dekalog             ,"[nan, 'Krystyna Janda', 'meaning of life', 'moral challenge', 'morality', 'search for meaning', 'ten commandments']",TV-MA,Drama,"[nan, 'Krystyna Janda', 'meaning of life', 'moral challenge', 'morality', 'search for meaning', 'ten commandments']"
Rakesh Roshan,10000000.0,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",Naseeruddin Shah,Krrish ,"['Rakesh Roshan', 'Naseeruddin Shah', 'breaking the fourth wall', 'breaking the fourth wall by talking to the audience', 'computer', 'mask', 'singapore']",Not Rated,Sci-Fi,"['Rakesh Roshan', 'Naseeruddin Shah', 'breaking the fourth wall', 'breaking the fourth wall by talking to the audience', 'computer', 'mask', 'singapore']"
John Waters,10000000.0,"['Comedy', 'Crime', 'Thriller']",Alicia Witt,Cecil B. DeMented ,"['John Waters', 'Alicia Witt', 'actress', 'drive in', 'female protagonist', 'movie star', 'woman shot in the forehead']",R,Rom-Com,"['John Waters', 'Alicia Witt', 'actress', 'drive in', 'female protagonist', 'movie star', 'woman shot in the forehead']"
William Friedkin,11000000.0,"['Crime', 'Drama', 'Romance', 'Thriller']",Matthew McConaughey,Killer Joe ,"['William Friedkin', 'Matthew McConaughey', 'female nudity', 'female pubic hair', 'lingerie', 'neo noir', 'pubic hair']",R,Crime,"['William Friedkin', 'Matthew McConaughey', 'female nudity', 'female pubic hair', 'lingerie', 'neo noir', 'pubic hair']"
Derrick Borte,5000000.0,"['Comedy', 'Drama']",Demi Moore,The Joneses ,"['Derrick Borte', 'Demi Moore', 'envy', 'fake family', 'gadget', 'materialism', 'unhappy marriage']",R,Rom-Com,"['Derrick Borte', 'Demi Moore', 'envy', 'fake family', 'gadget', 'materialism', 'unhappy marriage']"
Richard Kwietniowski,10000000.0,"['Crime', 'Drama', 'Thriller']",Philip Seymour Hoffman,Owning Mahowny ,"['Richard Kwietniowski', 'Philip Seymour Hoffman', 'bank', 'bank fraud', 'bank manager', 'gambling', 'toronto']",R,Crime,"['Richard Kwietniowski', 'Philip Seymour Hoffman', 'bank', 'bank fraud', 'bank manager', 'gambling', 'toronto']"
Bob Odenkirk,10000000.0,['Comedy'],Jenna Fischer,The Brothers Solomon ,"['Bob Odenkirk', 'Jenna Fischer', 'antarctica', 'coma', 'neighbor', 'phd', 'pregnancy']",R,Comedy,"['Bob Odenkirk', 'Jenna Fischer', 'antarctica', 'coma', 'neighbor', 'phd', 'pregnancy']"
Kar-Wai Wong,10000000.0,"['Drama', 'Romance']",Natalie Portman,My Blueberry Nights ,"['Kar-Wai Wong', 'Natalie Portman', 'blueberry pie', 'diner', 'nevada', 'new york city', 'pie']",PG-13,Drama,"['Kar-Wai Wong', 'Natalie Portman', 'blueberry pie', 'diner', 'nevada', 'new york city', 'pie']"
John Turturro,,['Drama'],Beverly D'Angelo,Illuminata ,"['John Turturro', ""Beverly D'Angelo"", 'critic', 'new york', 'new york city', 'playwright', 'theater critic']",R,Drama,"['John Turturro', ""Beverly D'Angelo"", 'critic', 'new york', 'new york city', 'playwright', 'theater critic']"
Guy Ritchie,10000000.0,"['Comedy', 'Romance']",Bruce Greenwood,Swept Away ,"['Guy Ritchie', 'Bruce Greenwood', 'island', 'sailor', 'storm', 'stranded', 'vacation']",R,Rom-Com,"['Guy Ritchie', 'Bruce Greenwood', 'island', 'sailor', 'storm', 'stranded', 'vacation']"
Joshua Seftel,10000000.0,"['Action', 'Comedy', 'Thriller']",Bashar Rahal,"War, Inc. ","['Joshua Seftel', 'Bashar Rahal', 'assassin', 'corporation', 'pop star', 'reporter', 'satire']",R,Rom-Com,"['Joshua Seftel', 'Bashar Rahal', 'assassin', 'corporation', 'pop star', 'reporter', 'satire']"
